Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2004-02-22,Mexico,974,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,817,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,962,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-02-29,Mexico,944,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1016,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,925,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-03-07,Mexico,1040,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1084,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,901,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-03-14,Mexico,1028,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1081,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,929,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-03-21,Mexico,1021,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1037,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,987,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-03-28,Mexico,880,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,957,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,1042,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-04-04,Mexico,871,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,936,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,1086,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-04-11,Mexico,908,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,989,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,1126,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-04-18,Mexico,838,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,948,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,1120,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-04-25,Mexico,828,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1079,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,997,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
