Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2007-03-18,New Zealand,8,Nation,-41.5000831,172.8344077,North Island,7,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2007-03-25,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,8,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2007-04-01,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,13.0,State,54.52476,-5.580055623278962
2007-04-08,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,12.0,State,54.52476,-5.580055623278962
2007-04-15,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,12.0,State,54.52476,-5.580055623278962
2007-04-22,New Zealand,20,Nation,-41.5000831,172.8344077,North Island,22,State,-38.00353045,175.95785260835657,South Island,13.0,State,54.52476,-5.580055623278962
2007-04-29,New Zealand,19,Nation,-41.5000831,172.8344077,North Island,18,State,-38.00353045,175.95785260835657,South Island,17.0,State,54.52476,-5.580055623278962
2007-05-06,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2007-05-13,New Zealand,32,Nation,-41.5000831,172.8344077,North Island,29,State,-38.00353045,175.95785260835657,South Island,37.0,State,54.52476,-5.580055623278962
2007-05-20,New Zealand,17,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,26.0,State,54.52476,-5.580055623278962
2007-05-27,New Zealand,31,Nation,-41.5000831,172.8344077,North Island,30,State,-38.00353045,175.95785260835657,South Island,38.0,State,54.52476,-5.580055623278962
2007-06-03,New Zealand,32,Nation,-41.5000831,172.8344077,North Island,33,State,-38.00353045,175.95785260835657,South Island,33.0,State,54.52476,-5.580055623278962
