Date,South Africa,Gauteng,Kwazulu-Natal,Western Cape
2010-09-05,2970,2882,3097,3060
2010-09-12,2710,2557,2916,3077
2010-09-19,2312,2378,2481,2719
2010-09-26,2508,2418,2267,2805
2010-10-03,2289,2370,2069,2711
2010-10-10,2165,2096,2159,2377
2010-10-17,2038,2010,2138,2177
2010-10-24,2063,2085,2100,1978
2010-10-31,2238,2092,2206,2258
2010-11-07,1934,1717,2237,2326
2010-11-14,1824,1651,2177,2079
2010-11-21,1817,1752,2016,1831
2010-11-28,1865,1788,1953,1790
2010-12-05,1867,1897,2141,1636
2010-12-12,1827,1687,2300,1713
2010-12-19,1855,1629,2365,1705
2010-12-26,2059,1770,2655,1764
2011-01-02,1695,1576,2524,1571
2011-01-09,1642,1775,2215,1576
2011-01-16,1784,1836,1886,1503
2011-01-23,1776,1856,1909,1397
2011-01-30,2146,2149,2287,1584
2011-02-06,2311,2371,2510,2015
2011-02-13,2232,2240,2513,1931
2011-02-20,2004,2115,2358,1814
2011-02-27,2062,2223,2231,1761
2011-03-06,2126,2169,2148,1977
2011-03-13,1928,1933,2092,1794
2011-03-20,2058,2112,2164,1731
2011-03-27,2101,2195,2008,1766
2011-04-03,2096,2095,1994,2107
2011-04-10,2297,2354,2151,2002
2011-04-17,2216,2123,2313,2190
2011-04-24,2532,2633,2349,2160
2011-05-01,2700,2922,2490,2312
2011-05-08,3095,3367,2531,2657
2011-05-15,3052,3192,2829,2686
2011-05-22,3226,3491,2920,2789
2011-05-29,3719,3969,2715,3506
2011-06-05,4046,4355,2980,3680
2011-06-12,4060,4342,3440,3811
2011-06-19,3679,3959,3646,3126
2011-06-26,2971,3125,3878,2504
2011-07-03,3197,3262,3676,2870
2011-07-10,3161,3161,3109,3143
2011-07-17,3143,3202,3090,2853
2011-07-24,3078,3135,3187,2916
2011-07-31,2886,2849,3221,2783
2011-08-07,3043,3204,3421,2799
2011-08-14,3051,2804,3275,3266
2011-08-21,2641,2766,2859,2385
2011-08-28,2468,2568,2556,2398
2011-09-04,2757,2833,2511,2546
2011-09-11,2773,2989,2461,2637
2011-09-18,2588,2598,2518,2508
2011-09-25,2724,2574,2597,2763
2011-10-02,2526,2621,2455,2707
2011-10-09,2359,2311,2617,2312
2011-10-16,2108,2124,2542,1991
2011-10-23,2089,1942,2706,1894
2011-10-30,1933,1861,2719,1840
2011-11-06,2028,1761,2811,1801
2011-11-13,1790,1623,2485,1887
2011-11-20,1622,1561,2227,1808
2011-11-27,1695,1676,2105,1668
2011-12-04,1973,1846,2110,1721
2011-12-11,1956,1719,2281,1955
2011-12-18,1973,1741,2358,2105
2011-12-25,2034,1898,2362,2134
2012-01-01,2017,2020,2367,2215
2012-01-08,1627,1584,2245,1836
2012-01-15,1572,1557,2096,1530
2012-01-22,1620,1629,2061,1435
2012-01-29,1695,1794,1957,1484
2012-02-05,1801,1821,1944,1619
2012-02-12,2056,2171,1936,1885
2012-02-19,1872,1804,1993,1978
2012-02-26,1884,1831,1862,1858
2012-03-04,1926,1916,1782,1974
2012-03-11,2067,2166,1888,1954
2012-03-18,2039,2115,1809,1979
2012-03-25,2031,2110,1977,1985
2012-04-01,2120,2063,2033,2113
2012-04-08,2312,2386,2389,2322
2012-04-15,2698,2727,2621,2647
2012-04-22,2490,2480,2778,2629
2012-04-29,2642,2841,2560,2578
2012-05-06,2734,2631,2644,2663
2012-05-13,2832,2847,2866,2670
2012-05-20,3136,3127,3016,3185
2012-05-27,3382,3350,3060,3497
2012-06-03,3354,3470,3191,3219
2012-06-10,3775,3804,3280,3646
2012-06-17,3667,3840,3305,3713
2012-06-24,3344,3389,3363,3374
2012-07-01,3710,3892,3328,3475
2012-07-08,3159,3349,2882,3138
2012-07-15,3191,3185,2676,3576
2012-07-22,3429,3408,2687,3942
2012-07-29,3611,3525,3148,4468
2012-08-05,3858,3495,3234,5072
2012-08-12,4232,4152,3957,4732
2012-08-19,3890,3800,3570,4257
2012-08-26,3437,3381,3289,3509
2012-09-02,3032,3025,3020,3235
2012-09-09,2940,2860,2766,3247
2012-09-16,2728,2687,3165,2806
2012-09-23,2701,2656,3124,2828
2012-09-30,2568,2600,2788,2344
2012-10-07,2512,2538,2729,2539
2012-10-14,2381,2388,2595,2590
2012-10-21,2138,1904,2338,2459
2012-10-28,2211,2062,2241,2597
2012-11-04,2284,2291,2224,2331
2012-11-11,2072,2028,2309,2023
2012-11-18,2018,2010,2300,2000
2012-11-25,1944,1928,2264,1885
